[00:00.000 --> 00:02.000]  We've got it
[58:07.460 --> 58:14.460]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[58:14.460 --> 58:20.460]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[58:20.460 --> 58:24.460]  Police State 4 chronicles the sickening depths to which our republic has fallen.
[58:24.460 --> 58:28.460]  Prepare to enter the secretive world of emergency dictatorship.
[58:28.460 --> 58:34.460]  Body scammers, sound cameras, citizen spies, stage terror and cameras on every street corner.
[58:34.460 --> 58:38.460]  It's only the beginning of the New World Order's hellish plan.
[58:38.460 --> 58:41.460]  The police state isn't coming. It's here.
[58:41.460 --> 58:50.460]  Secure your copy today at infowars.com or see it online in the highest quality at prisonplanet.tv.
[59:11.460 --> 59:17.460]  Aquamedics advanced media for removal of fluoride and other heavy metals all in one filter element.
[59:17.460 --> 59:23.460]  It is the only one that does it and out of the gates we have it discounted at 10% off with promo code water.
[59:23.460 --> 59:32.460]  This is the only system that in one unit helps reduce or remove pesticides, herbicides, chloramines, ammonia and chlorine.
[59:32.460 --> 59:40.460]  Hydrofluorosilic acid, the most common form of fluoride not covered by other fluoride filter brands and sodium hexafluorosilicate.
[59:40.460 --> 59:50.460]  Get your Pro-Pure with the new Pro-One filters today at infowarstore.com or by calling 888-253-3139.
[59:50.460 --> 01:00:00.460]  Coast to coast, direct from Austin. You're listening to the Alex Jones Broadcasting Network.
[01:00:00.460 --> 01:00:08.460]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[01:00:08.460 --> 01:00:17.460]  It's Alex Jones and the GCN Radio Network.
[01:00:17.460 --> 01:00:27.460]  The reported shooter of the police has put out a new statement. We'll see if that's for real.
[01:00:27.460 --> 01:00:33.460]  But again, it could be staged as well. My gut says it's real just by looking at the way there's the establishments responding, how it was floated out there.
[01:00:33.460 --> 01:00:41.460]  You can disagree with me if you want. But accused killer cheered by the left. We are all Chris Dorner.
[01:00:41.460 --> 01:00:49.460]  These people are so sick. A pro gun control guy. See, I haven't even seized on that to demonize the gun grabbers.
[01:00:49.460 --> 01:00:57.460]  Just truly disgusting. Absolutely, truly, truly disgusting.
[01:00:57.460 --> 01:01:03.460]  So we're going to be breaking some of that some of that down now.
[01:01:03.460 --> 01:01:12.460]  Now, here's the deal. I can open the phones up to Australia and have, you know, 15 people calling from Australia and I can open the phones up to police and have 15 police call in.
[01:01:12.460 --> 01:01:19.460]  And that was something I was thinking about, having the police call in to give their take on this Dorner.
[01:01:19.460 --> 01:01:27.460]  Look at this headline. CBS News support growing for former L.A. officer accused of killing spree. Good God.
[01:01:27.460 --> 01:01:32.460]  Yeah. And they're like, oh, we're going to open the case for you while you were fired.
[01:01:32.460 --> 01:01:37.460]  It's such political correctness, you know, like, well, if it's like Django, you're killing evil white people.
[01:01:37.460 --> 01:01:45.460]  That's OK. Man, I tell you, this is sick. See, that's how that's when you really know they're spinning it and they weren't behind it is when they're like saying it's now a good thing.
[01:01:45.460 --> 01:01:53.460]  It's getting you imagine. Anyways, we haven't gotten but one call from someone who says they lost a family member from suicide in the military.
[01:01:53.460 --> 01:02:04.460]  And I know this is an epidemic. Twenty two people a day. I know it's hard to talk about if you've lost a buddy in the military to suicide or you knew people well that did.
[01:02:04.460 --> 01:02:16.460]  We'd like to hear from you because it's important. It hasn't been given the focus it needs. Eight, seven, seven, seven, eight, nine, Alex, eight, seven, seven, seven, seven, eight, nine, Alex, eight, seven, seven, seven, eight, nine, two, five, three, nine.
[01:02:16.460 --> 01:02:22.460]  That's the Sunday phone number call. But Chris, you're coming up the next segment. Let's get to John in Colorado.
[01:02:22.460 --> 01:02:34.460]  And then Kathy, Jay and Jeffrey first. John, you're on the air. Go ahead. All righty. We're going to take that callers that phone system down. Let's talk to Kathy in Oregon.
[01:02:34.460 --> 01:02:41.460]  Kathy, you're on the air. Alex, you know, I would say if you don't stand for something, you would fall for anything.
[01:02:41.460 --> 01:02:50.460]  And, you know, I've been listening to your show here for the past week or so, and you've been talking about this guy in California, the state law officer or former officer.
[01:02:50.460 --> 01:02:58.460]  And, you know, it's just so hard to believe anything the media says, you know, and I don't know where is this guy, you know, and they weren't ready for it.
[01:02:58.460 --> 01:03:06.460]  They didn't have the job. It doesn't fit what would help them. You understand? Again, I've studied him so long, but I mean, do you disagree?
[01:03:06.460 --> 01:03:15.460]  Well, here's the thing. I mean, these guys, the government, they're so diabolical. They could just, you know, say that he's Obama on Piers Morgan lover to make it look like they're not involved.
[01:03:15.460 --> 01:03:30.460]  And, you know, whatever the thing they're trying to use this whole, whatever they're trying to use this for, whatever purpose, you know, it could be staged, you know, for the California gun grab.
[01:03:30.460 --> 01:03:31.460]  I mean, it just stinks.
[01:03:31.460 --> 01:03:37.460]  Well, absolutely. They are trying to ban and make you turn in all the semi-autos right now. But I mean, here's the deal.
[01:03:37.460 --> 01:03:43.460]  There's 315 million people and growing. There are going to be real people that go out and shoot people.
[01:03:43.460 --> 01:03:50.460]  And we're going to have good guys take out a bad guy with guns. Just because there's a bad guy doesn't mean we all give our guns up.
[01:03:50.460 --> 01:03:54.460]  We have to point that out just because somebody stabs somebody to death. We don't turn our knives in.
[01:03:54.460 --> 01:04:01.460]  I know the M.O. of the narcissistic government types that think they're Rambo. I've talked a lot about it.
[01:04:01.460 --> 01:04:07.460]  And they would put out a manifesto that would be pro-gun if they were going to stage this. I know them.
[01:04:07.460 --> 01:04:18.460]  They target the lowest common denominator. This is exactly what I would expect out of a authoritarian libtard, as they're known.
[01:04:18.460 --> 01:04:25.460]  This is exactly the type of stuff that would be real. I mean, I'm just saying I read it. It reads like it's real.
[01:04:25.460 --> 01:04:30.460]  I mean, there's so many little essences that go into the statement like that. It's my gut.
[01:04:30.460 --> 01:04:37.460]  And it's just the facts. You know, I think Al Gore won the 2000 election. I hate Al Gore. But the evidence was he won.
[01:04:37.460 --> 01:04:43.460]  Mitt Romney won this election. There was election fraud. Evidence is that. Doesn't mean I like Mitt Romney. It's just a fact.
[01:04:43.460 --> 01:04:54.460]  I believe this from the evidence we've got is real. Now, he could be some military mental patient, mind control, who went off the rails. That could be it, too.
[01:04:54.460 --> 01:05:06.460]  Alex Jones here with a message to fellow freedom lovers. The prognosis for the entire planetary economic system runs from bad to worse.
[01:05:06.460 --> 01:05:14.460]  The globalist model is to shut down societies and starve patriots out until they acquiesce to the global takeover.
[01:05:14.460 --> 01:05:19.460]  That's why we've assembled the most vital and important preparedness items at InfoWarsShop.com.
[01:05:19.460 --> 01:05:28.460]  These are items that I did research on that I personally use. You've got the LifeStraw so you can turn fetid water into safe water anywhere you go.
[01:05:28.460 --> 01:05:34.460]  The Ktorr hand crank generator to charge up key equipment during power outages or out in the field.
[01:05:34.460 --> 01:05:39.460]  Strategic Relocation, third edition by Joel Skousen. When disaster strikes by Matthew Stein.
[01:05:39.460 --> 01:05:44.460]  TheraSafe used by Homeland Security to protect yourself during any radiological event.
[01:05:44.460 --> 01:05:52.460]  Hand crank shortwave AM-FM radios. Everything that we've researched and found to be the best is available at InfoWarsShop.com.
[01:05:52.460 --> 01:05:58.460]  And your purchase makes our InfoWar possible. We're getting prepared. Are you? InfoWarsShop.com.
[01:05:58.460 --> 01:06:10.460]  Crashing through the lies and disinformation. It's Alex Jones on the GCN Radio Network.
[01:06:10.460 --> 01:06:33.460]  Monday through Friday 11 a.m. to 2 p.m. syndicated transmission InfoWars.com XM 166 over 150 AM and FM affiliates.
[01:06:33.460 --> 01:06:40.460]  But also Sundays 4 to 6 p.m. Central live. We are live right now ladies and gentlemen.
[01:06:40.460 --> 01:06:46.460]  By the way the Sunday show is not on XM yet and I've not ever really lobbied them but I think we're gonna lobby them next week.
[01:06:46.460 --> 01:06:52.460]  So call XM of your subscribers. Tell them you want the Sunday show on XM as well.
[01:06:52.460 --> 01:07:02.460]  If you're listening on AM or FM station whether it's 590 AM right now or Bakersfield California or LA California or wherever it is.
[01:07:02.460 --> 01:07:07.460]  Be sure and spread the word about the broadcast and thank them for carrying the show.
[01:07:07.460 --> 01:07:13.460]  Finishing up I'm seeing comments on InfoWars.com and the articles.
[01:07:13.460 --> 01:07:20.460]  Why isn't Alex talking about the alleged reported person behind the killing spree in California.
[01:07:20.460 --> 01:07:23.460]  The former LAPD cop Christopher Dorner and his gun control love.
[01:07:23.460 --> 01:07:28.460]  Yes the manifesto loves Obama says the citizens should have all their guns taken.
[01:07:28.460 --> 01:07:34.460]  Go read the quotes and he's reportedly issued a new statement.
[01:07:34.460 --> 01:07:47.460]  We're vetting that right now and but all I know is CBS News is saying support growing for former LA officer accused of killing spree.
[01:07:47.460 --> 01:08:00.460]  I mean if that isn't sick. If that isn't sick they're now coming out and the head of the LAPD the chief said they're gonna reopen his firing case.
[01:08:00.460 --> 01:08:05.460]  I mean this is just sickening. I mean this is sickening whether the guy did it or not.
[01:08:05.460 --> 01:08:09.460]  The fact that like oh yes more portals sweet see cake.
[01:08:09.460 --> 01:08:17.460]  I mean this is crazy can you imagine if a tea party or a conservative a libertarian a gun owner I don't care what color they were came out and did this.
[01:08:17.460 --> 01:08:22.460]  It would be the end of the world. I mean as gun owners we were told it was our fault.
[01:08:22.460 --> 01:08:30.460]  It was our fault Sandy Hook happened when statistically mass shootings are 88 people a year and about half of those are gang bangers killing each other.
[01:08:30.460 --> 01:08:35.460]  You got about 42 people a year dying in real mass shootings out of 315 million.
[01:08:35.460 --> 01:08:42.460]  I mean violent crimes is 1991 has dropped 49% FBI.gov real statistics.
[01:08:42.460 --> 01:08:47.460]  You never hear that on the news. It's all how gun owners are killing the children.
[01:08:47.460 --> 01:08:57.460]  We got a right to be gun free except for the predator drones you're using in California and they're saying this is the first time ever drones have been used against someone.
[01:08:57.460 --> 01:09:06.460]  No they're not. Daily Mail meet the North Dakota family of anti-government separatists busted by cops using a predator drone after stealing six cows which they had and the cows kept breaking into their property.
[01:09:06.460 --> 01:09:09.460]  So by common law they took them for the cost.
[01:09:09.460 --> 01:09:12.460]  They've had our cows taken before the third or fourth time they break into somebody's property.
[01:09:12.460 --> 01:09:15.460]  Nothing you can do. It's not very neighborly but nothing you can do.
[01:09:15.460 --> 01:09:21.460]  You know the last thing we need to do is demonize the American people for stuff like this.
[01:09:21.460 --> 01:09:36.460]  So let's get that straight but yes this guy's manifestos are just how much he loves Biden and how cool he is and how only law enforcement, the new royalty can have guns.
[01:09:36.460 --> 01:09:40.460]  I mean on and on and on and I for one am sick of it.
[01:09:40.460 --> 01:09:47.460]  Okay look I got loaded phone lines here but only a couple of them are people who lost family to suicide.
[01:09:47.460 --> 01:09:56.460]  And so we're going to go through those calls and then get to other people that are calling in or saying they lost family from being on serotonin reuptake inhibitors, the Prozac family of drugs.
[01:09:56.460 --> 01:10:01.460]  But let me just before I go to your calls here briefly give you a couple of the headlines here.
[01:10:01.460 --> 01:10:09.460]  This is Forbes suicide rate among vets and active duty military jumps now to 22 a day.
[01:10:09.460 --> 01:10:14.460]  Almost once an hour every 65 minutes to be precise a military veteran commits suicide.
[01:10:14.460 --> 01:10:17.460]  And that's a nude investigation by the Department of Veterans Affairs.
[01:10:17.460 --> 01:10:19.460]  Yeah it's actually far worse than that.
[01:10:19.460 --> 01:10:27.460]  This is roughly seven fold the height of suicides in 1975 at the end of the Vietnam War when people felt depressed.
[01:10:27.460 --> 01:10:28.460]  Amazing.
[01:10:28.460 --> 01:10:31.460]  Now again it doesn't get the attention it deserves.
[01:10:31.460 --> 01:10:34.460]  Suicide now America's leading cause of death by injury.
[01:10:34.460 --> 01:10:38.460]  New study shows that's Huffington Post and ABC News.
[01:10:38.460 --> 01:10:41.460]  Who knew the leading cause of death is suicide?
[01:10:41.460 --> 01:10:43.460]  Unnatural death.
[01:10:43.460 --> 01:10:47.460]  Yeah the AR-15 isn't even the top 500.
[01:10:47.460 --> 01:10:53.460]  But if you watch Piers Morgan you'd think it was the bathtubs killed 20 something thousand a year.
[01:10:53.460 --> 01:10:54.460]  You're going to ban those?
[01:10:54.460 --> 01:10:55.460]  Look at this deadly bat.
[01:10:55.460 --> 01:11:03.460]  We should do a skit where we like talk about an assault tub and like I guess shoot a bathtub then because it's so evil.
[01:11:03.460 --> 01:11:04.460]  In fact let's do it.
[01:11:04.460 --> 01:11:06.460]  Let's go buy a bathtub at a shooting range.
[01:11:06.460 --> 01:11:08.460]  I'll go shoot it with a 50 cal Tuesday.
[01:11:08.460 --> 01:11:10.460]  We're already going shooting so.
[01:11:10.460 --> 01:11:12.460]  Oh boy I'm losing my mind here.
[01:11:12.460 --> 01:11:13.460]  Okay enough of that.
[01:11:13.460 --> 01:11:18.460]  I'm going to get into the economy after we take about 45 minutes of calls and why we're being bankrupted by design.
[01:11:18.460 --> 01:11:22.460]  State of the Union China eclipses US's biggest trading nation.
[01:11:22.460 --> 01:11:27.460]  We're going to be getting to all of that but I mean now the mainstream media.
[01:11:27.460 --> 01:11:33.460]  I've got multiple mainstream news articles going hey he's killing people because they're white.
[01:11:33.460 --> 01:11:35.460]  And I mean the whites are evil.
[01:11:35.460 --> 01:11:38.460]  Did Django kills whites?
[01:11:38.460 --> 01:11:42.460]  I mean you know by the way he's a big fan of Django.
[01:11:42.460 --> 01:11:45.460]  Support growing for former LA officer accused of killing spree.
[01:11:45.460 --> 01:11:47.460]  It's up at DrudgeReport.com on the right hand side.
[01:11:47.460 --> 01:11:49.460]  It's also up at Infowars.com.
[01:11:49.460 --> 01:11:50.460]  Let's punch that up.
[01:11:50.460 --> 01:11:52.460]  Trail goes very cold.
[01:11:52.460 --> 01:11:53.460]  One million reward.
[01:11:53.460 --> 01:11:55.460]  Accused killer cheered by left.
[01:11:55.460 --> 01:11:57.460]  We are all Chris Dorner now.
[01:11:57.460 --> 01:12:02.460]  I got to turn my guns in because one of your little program government bots.
[01:12:02.460 --> 01:12:04.460]  And I've seen that smile so much.
[01:12:04.460 --> 01:12:06.460]  So proud to be a government bureaucrat.
[01:12:06.460 --> 01:12:08.460]  Nobody else is scum but you.
[01:12:08.460 --> 01:12:10.460]  Oh yes.
[01:12:10.460 --> 01:12:13.460]  He wants to reportedly kill their families.
[01:12:13.460 --> 01:12:15.460]  Oh yeah that's nice.
[01:12:15.460 --> 01:12:20.460]  Kill their families because he's out randomly shooting cops reportedly.
[01:12:20.460 --> 01:12:22.460]  These people are so sick.
[01:12:22.460 --> 01:12:26.460]  I mean all I ever hear about from the so-called left or a bunch of authoritarians.
[01:12:26.460 --> 01:12:29.460]  Is how once they get power how they're going to kill libertarians.
[01:12:29.460 --> 01:12:31.460]  You know I'll keep my guns scum.
[01:12:31.460 --> 01:12:32.460]  How's that sound?
[01:12:32.460 --> 01:12:34.460]  And you can get them from my cold dead hands.
[01:12:34.460 --> 01:12:36.460]  To your property, your mule pulling your plow.
[01:12:36.460 --> 01:12:39.460]  It ain't happening turds.
[01:12:39.460 --> 01:12:43.460]  Came just get that through your little heads.
[01:12:43.460 --> 01:12:45.460]  Man.
[01:12:45.460 --> 01:12:47.460]  All right I apologize for ranting there.
[01:12:47.460 --> 01:12:52.460]  Let's go now talking about the suicide in the troops to Chris in Colorado.
[01:12:52.460 --> 01:12:56.460]  Chris tell us who you knew and who committed suicide and what you think was behind it.
[01:12:56.460 --> 01:13:01.460]  What is behind the epidemic of military personnel committing suicide Chris?
[01:13:01.460 --> 01:13:08.460]  Well I personally definitely think since they use our troops as guinea pigs from the time that they begin training.
[01:13:08.460 --> 01:13:17.460]  It's the combination of the vaccines and the gases and even down to the food that they expose our troops to.
[01:13:17.460 --> 01:13:22.460]  Is the whole time that they're enlisted and their name and life is on that paper.
[01:13:22.460 --> 01:13:27.460]  Is that they're being tested and it's on a biological level.
[01:13:27.460 --> 01:13:33.460]  And now that we see the increased amount of suicides that's next what they plan for the American people.
[01:13:33.460 --> 01:13:38.460]  And everyone out there listening right now every time they see a military and police.
[01:13:38.460 --> 01:13:41.460]  They need to go out of their way to walk up to them and shake their hand.
[01:13:41.460 --> 01:13:44.460]  Thank them for the oath that they swore to the Constitution.
[01:13:44.460 --> 01:13:46.460]  And then talk to them on those serious levels.
[01:13:46.460 --> 01:13:50.460]  That's right don't thank them for serving in a globalist war for OPM or oil or whatever.
[01:13:50.460 --> 01:13:53.460]  Thank them or a war for globalism.
[01:13:53.460 --> 01:13:57.460]  Thank them for defending the Bill of Rights and Constitution and following their oath.
[01:13:57.460 --> 01:14:00.460]  Something the system is so afraid of and oath keepers.
[01:14:00.460 --> 01:14:04.460]  I totally absolutely agree with you and fight for the military.
[01:14:04.460 --> 01:14:09.460]  I fought for the military to not be given the experimental smallpox shot that killed so many of them in 02.
[01:14:09.460 --> 01:14:12.460]  They had to stop it 10 years ago.
[01:14:12.460 --> 01:14:16.460]  I fought to get the deadly experimental anthrax shot stop that killed so many.
[01:14:16.460 --> 01:14:25.460]  They use the troops to get all sorts of approval where you've got to do human testing of dangerous vaccines and stuff.
[01:14:25.460 --> 01:14:28.460]  It's illegal to make troops take experimental vaccines.
[01:14:28.460 --> 01:14:33.460]  They're the only group you can make take approved vaccines, FDA approved.
[01:14:33.460 --> 01:14:35.460]  But they've got rights like we do too.
[01:14:35.460 --> 01:14:37.460]  Folks do troops have rights?
[01:14:37.460 --> 01:14:39.460]  Because everybody says oh the troops are God.
[01:14:39.460 --> 01:14:42.460]  But then oh they don't have rights to say no to an anthrax shot.
[01:14:42.460 --> 01:14:43.460]  Yes they do.
[01:14:43.460 --> 01:14:45.460]  And it's up to us to inform them.
[01:14:45.460 --> 01:14:49.460]  I talked to a gun shop owner, one of the biggest in the country, the head of tactical firearms.
[01:14:49.460 --> 01:14:50.460]  It's on video.
[01:14:50.460 --> 01:14:52.460]  And he says well you know it's the law.
[01:14:52.460 --> 01:14:55.460]  I've got a report when somebody buys a gun to the ATF.
[01:14:55.460 --> 01:14:56.460]  It's already registered.
[01:14:56.460 --> 01:14:57.460]  There is no law.
[01:14:57.460 --> 01:15:01.460]  It's an ATF order just to see if you'll do something that's not the law.
[01:15:01.460 --> 01:15:03.460]  It's all color of law.
[01:15:03.460 --> 01:15:05.460]  Now tell us who you lost in your family.
[01:15:05.460 --> 01:15:09.460]  Well it's real personal.
[01:15:09.460 --> 01:15:12.460]  I don't want to get emotional on the phone right now.
[01:15:12.460 --> 01:15:17.460]  But again reminding their service members and the police by just shaking their hand
[01:15:17.460 --> 01:15:19.460]  and looking in their face.
[01:15:19.460 --> 01:15:24.460]  It really means a lot to them, the family members and especially the police.
[01:15:24.460 --> 01:15:26.460]  I mean a lot's going on right now.
[01:15:26.460 --> 01:15:31.460]  We need to stay together as a nation and as families and as people.
[01:15:31.460 --> 01:15:32.460]  That's why they want to divide us.
[01:15:32.460 --> 01:15:33.460]  Listen Chris can we come back to you?
[01:15:33.460 --> 01:15:35.460]  I know you don't want to share this.
[01:15:35.460 --> 01:15:36.460]  It's painful for you.
[01:15:36.460 --> 01:15:40.460]  But we need to humanize whether it was your dad, your brother, your uncle.
[01:15:40.460 --> 01:15:42.460]  I mean was it your dad, your brother, your uncle?
[01:15:42.460 --> 01:15:44.460]  Who was it?
[01:15:44.460 --> 01:15:46.460]  Let me pull it together.
[01:15:46.460 --> 01:15:47.460]  You can come back to me.
[01:15:47.460 --> 01:15:49.460]  Alright I'll come back to you after the break.
[01:15:49.460 --> 01:15:51.460]  We'll be right back after this quick break.
[01:15:51.460 --> 01:15:53.460]  We've got others calling in who lost family to this.
[01:15:53.460 --> 01:15:56.460]  They make them serve up to ten tours ladies and gentlemen.
[01:15:56.460 --> 01:16:01.460]  Nobody ever made them serve more than one.
[01:16:01.460 --> 01:16:07.460]  If you want an American company with American products made by Americans,
[01:16:07.460 --> 01:16:10.460]  here is the Cal-Ben Soap Company.
[01:16:10.460 --> 01:16:14.460]  Alex and his staff have used these pure soap products for years.
[01:16:14.460 --> 01:16:19.460]  These all natural soaps are made from the highest quality vegetable and coconut oils
[01:16:19.460 --> 01:16:21.460]  that are earth friendly and safe.
[01:16:21.460 --> 01:16:29.460]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:16:29.460 --> 01:16:34.460]  Buy the one to two month sample package and enjoy soaps that are twice as good
[01:16:34.460 --> 01:16:39.460]  as what you're using now or save big with a one to two year supply of soaps
[01:16:39.460 --> 01:16:41.460]  for all your cleaning needs.
[01:16:41.460 --> 01:16:43.460]  This is an amazing deal.
[01:16:43.460 --> 01:16:48.460]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:16:48.460 --> 01:17:00.460]  See them on the web at 5starsoap.com or call 800-340-7091 for a free catalog.
[01:17:00.460 --> 01:17:05.460]  You prepare by purchasing gold, food and firearms but if you don't have a home security system,
[01:17:05.460 --> 01:17:09.460]  then you're missing a critical weapon in your arsenal for home protection.
[01:17:09.460 --> 01:17:13.460]  When you're sleeping or away from home, who's watching out for intruders?
[01:17:13.460 --> 01:17:15.460]  Check out SimpliSafe.
[01:17:15.460 --> 01:17:19.460]  It's a new do-it-yourself home security system that is completely wireless.
[01:17:19.460 --> 01:17:22.460]  Go to getsimplisafe.com.
[01:17:22.460 --> 01:17:25.460]  SimpliSafe is independent and off the grid.
[01:17:25.460 --> 01:17:29.460]  It runs on battery power so even if the grid goes down, you're protected.
[01:17:29.460 --> 01:17:34.460]  It's completely customizable so you can use it in your home, business, boat, trailer,
[01:17:34.460 --> 01:17:36.460]  storage unit or shed.
[01:17:36.460 --> 01:17:38.460]  Getsimplisafe.com.
[01:17:38.460 --> 01:17:43.460]  SimpliSafe is also ridiculously easy to install yourself in under 20 minutes
[01:17:43.460 --> 01:17:46.460]  so there's no need to let a stranger into your home.
[01:17:46.460 --> 01:17:50.460]  If you move or need to relocate, you can take the system with you wherever you go.
[01:17:50.460 --> 01:17:54.460]  You aren't always at home but SimpliSafe will stand guard protecting your property
[01:17:54.460 --> 01:17:57.460]  24 hours a day, 7 days a week.
[01:17:57.460 --> 01:18:00.460]  Again, that's getsimplisafe.com.
[01:18:27.460 --> 01:18:30.460]  Get my eFoods just in time to be able to help my sister and my niece.
[01:18:30.460 --> 01:18:34.460]  Bottom line, it's better to be prepared 10 years too early than one day too late.
[01:18:34.460 --> 01:18:37.460]  Feed common sense's warning and do what I've done.
[01:18:37.460 --> 01:18:42.460]  Call 800-409-5633 today or go to eFoodsDirect.com forward slash Alex.
[01:18:42.460 --> 01:18:45.460]  They have the best tasting long term storable food on the planet.
[01:18:45.460 --> 01:18:50.460]  Call 800-409-5633 and ask about the Alex Jones special
[01:18:50.460 --> 01:18:53.460]  or go to eFoodsDirect.com forward slash Alex.
[01:18:53.460 --> 01:18:54.460]  Get self-sufficient today.
[01:18:54.460 --> 01:18:59.460]  Call 800-409-5633 or eFoodsDirect.com forward slash Alex.
[01:18:59.460 --> 01:19:03.460]  Alex Jones here with a very important announcement for Truth Seekers.
[01:19:03.460 --> 01:19:06.460]  We've carried a lot of amazing films and books over the years
[01:19:06.460 --> 01:19:09.460]  on the online video bookstore at Infowars.com.
[01:19:09.460 --> 01:19:12.460]  And out of all the titles we've carried, one stands out
[01:19:12.460 --> 01:19:15.460]  because it is just so chillingly convincing.
[01:19:15.460 --> 01:19:21.460]  And that's Dreams From My Real Father by Joel Gilbert, available at Infowars.com.
[01:19:21.460 --> 01:19:25.460]  This film exposes the fraud that Obama is like nothing I've seen.
[01:19:25.460 --> 01:19:29.460]  If you want to know who Obama's real daddy is, this is the film for you.
[01:19:29.460 --> 01:19:33.460]  Don't forget, your purchase supports our broadcast and our growing media network.
[01:19:33.460 --> 01:19:36.460]  You'll also find it at Infowarshop.com.
[01:19:36.460 --> 01:19:40.460]  None Dare Call a Conspiracy by Gary Allen, the book that woke me up.
[01:19:40.460 --> 01:19:44.460]  We're also carrying Behind the Green Mask, U.N. Agenda 21 by Rosa Corey.
[01:19:44.460 --> 01:19:47.460]  This book is coffin nails to the globalist takeover.
[01:19:47.460 --> 01:19:51.460]  The Greater Good, the most professional and up to date film I've ever seen,
[01:19:51.460 --> 01:19:54.460]  exposing the scourge that is vaccines.
[01:19:54.460 --> 01:19:59.460]  These titles and a lot more are all available at Infowarshop.com.
[01:20:01.460 --> 01:20:04.460]  Coast to Coast, direct from Austin.
[01:20:04.460 --> 01:20:20.460]  You're listening to the Alex Jones Broadcasting Network.
[01:20:20.460 --> 01:20:38.460]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:20:38.460 --> 01:20:41.460]  All right, Chris, Ron, Sandy, Matt, James, Rick,
[01:20:41.460 --> 01:20:45.460]  those first six callers said they've all lost family to suicide.
[01:20:45.460 --> 01:20:49.460]  I think all of them but one from military suicide.
[01:20:49.460 --> 01:20:51.460]  The issue is why is this happening?
[01:20:51.460 --> 01:20:52.460]  Why is it epidemic?
[01:20:52.460 --> 01:20:59.460]  Well, I saw a story two years ago that the Big Ten insurance companies got together back in 99
[01:20:59.460 --> 01:21:02.460]  with Clinton and the Republicans and said,
[01:21:02.460 --> 01:21:07.460]  let's do a deal where all these death pensions that troops have had part of their check taken out
[01:21:07.460 --> 01:21:09.460]  to be put into life insurance, let's just take that money.
[01:21:09.460 --> 01:21:12.460]  It was trillions and they took it.
[01:21:12.460 --> 01:21:15.460]  But the veterans groups, we don't talk about that.
[01:21:15.460 --> 01:21:20.460]  Patriotism is worshipping the foreign banks that have hijacked and taken America over.
[01:21:20.460 --> 01:21:26.460]  And then I've met people that have served seven tours and had automatic re-ups
[01:21:26.460 --> 01:21:29.460]  and forced back in, fine printed the contracts.
[01:21:29.460 --> 01:21:37.460]  I mean, they didn't make you serve but one tour in World War II or Vietnam or Korea or World War I
[01:21:37.460 --> 01:21:41.460]  because they knew more than that if you wanted out, get out.
[01:21:41.460 --> 01:21:46.460]  And then even if you wanted to stay in two years max because it could screw you up.
[01:21:46.460 --> 01:21:49.460]  It could absolutely screw you up.
[01:21:49.460 --> 01:21:53.460]  And now they put them on psychotropic drugs that the insert says can make you commit suicide
[01:21:53.460 --> 01:21:55.460]  or go haywire and kill others.
[01:21:55.460 --> 01:22:01.460]  But every time a veteran does something wrong, they blame all veterans instead of blaming the system that did this.
[01:22:01.460 --> 01:22:06.460]  But statistically, veterans still are some of the most law abiding people out there.
[01:22:06.460 --> 01:22:10.460]  The media is hyping that veterans, while saying they love them and they're the best people in the world,
[01:22:10.460 --> 01:22:13.460]  oh, but they're the main danger, Homeland Security.
[01:22:13.460 --> 01:22:17.460]  Why, look how this guy's a veteran out there who shot three cops.
[01:22:17.460 --> 01:22:19.460]  That's why we need predator drones.
[01:22:19.460 --> 01:22:23.460]  The robots can be trusted.
[01:22:23.460 --> 01:22:27.460]  And I just cannot believe that the left is cheering this guy.
[01:22:27.460 --> 01:22:33.460]  And I mean, I got CBS News here saying that he's, I'm living in the twilight zone at this point.
[01:22:33.460 --> 01:22:34.460]  Chris, I'm going to get to others.
[01:22:34.460 --> 01:22:36.460]  I appreciate you holding. Finish up.
[01:22:36.460 --> 01:22:38.460]  I know it's hard for you to talk if you don't want to.
[01:22:38.460 --> 01:22:44.460]  I understand, but you talked about them being guinea pigs for drugs and things, a lot of experimental stuff.
[01:22:44.460 --> 01:22:50.460]  Your family member that committed suicide, can you, I mean, what do you think happened?
[01:22:50.460 --> 01:22:52.460]  Who were they?
[01:22:52.460 --> 01:23:01.460]  I definitely think it's tied to the vaccines and the psychotropic drugs that they're practically forcing down our troops' throats.
[01:23:01.460 --> 01:23:04.460]  I don't want to make this about me, our struggle, my family.
[01:23:04.460 --> 01:23:10.460]  This is about all- No, no, understand, but we have to listen, listen, you have to, you have to, you have to, you don't have to.
[01:23:10.460 --> 01:23:14.460]  I'm saying it's good to identify an individual to humanize them.
[01:23:14.460 --> 01:23:17.460]  You see, they don't want to put a face to this.
